[ 2013-06-03T09:02:03+08:00 ] /new/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-06-03T09:02:03+08:00 ] /new/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000738s ]
[ 2013-06-03T09:02:03+08:00 ] /new/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000880s ]
[ 2013-06-03T09:02:03+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.030865s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000342s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000246s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000230s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000330s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000307s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000206s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000327s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000400s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000219s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000244s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000341s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000299s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000162s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000171s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000154s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000145s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000134s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000148s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000190s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000203s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000138s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 100 行.
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 68 行.
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.006569s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.003963s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.000272s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000087s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000360s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.005940s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.006004s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.042284s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042360s ]
