[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001126s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001205s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.001322s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.001553s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.001407s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.001418s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.001463s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.001426s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.001443s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.001351s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.001373s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.001366s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 100 行.
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 68 行.
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.001227s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000208s ]
[ 2013-06-05T11:50:07+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.001344s ]
