[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001372s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001476s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_supervisors` [ RunTime:0.001546s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | NOTIC: [8] Undefined index:  f supervisorAction.class.php 第 8 行.
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | NOTIC: [8] Undefined index:  p supervisorModel.class.php 第 37 行.
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_supervisors` WHERE profession = 1 LIMIT 1   [ RunTime:0.000185s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | SQL: SELECT yjl_company.name as company,yjl_company.region,yjl_supervisors.* FROM `yjl_supervisors` LEFT JOIN yjl_company ON yjl_company.id = yjl_supervisors.cid WHERE profession = 1 ORDER BY addtime DESC LIMIT 0,1   [ RunTime:0.000231s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run LocationTemplate Behavior [ RunTime:0.001946s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_template ] --END-- [ RunTime:0.002043s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | NOTIC: [8] Undefined variable: web_title 8fc1b62dd067a8ae227fdf05b24233d5.php 第 15 行.
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run ParseTemplate Behavior [ RunTime:0.017286s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017362s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_filter ] --START--
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run ContentReplace Behavior [ RunTime:0.001010s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run TokenBuild Behavior [ RunTime:0.001005s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000892s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run ShowRuntime Behavior [ RunTime:0.001040s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004084s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Run ShowPageTrace Behavior [ RunTime:0.001062s ]
[ 2013-06-05T11:50:44+08:00 ] /new/index.php?a=index&m=supervisor | INFO: Tag[ view_end ] --END-- [ RunTime:0.001112s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001458s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001556s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | SQL: SHOW COLUMNS FROM `yjl_supervisors` [ RunTime:0.001835s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined index:  p supervisorModel.class.php 第 37 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_supervisors` WHERE profession = 2 LIMIT 1   [ RunTime:0.000202s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | SQL: SELECT yjl_company.name as company,yjl_company.region,yjl_supervisors.* FROM `yjl_supervisors` LEFT JOIN yjl_company ON yjl_company.id = yjl_supervisors.cid WHERE profession = 2 ORDER BY addtime DESC LIMIT 0,1   [ RunTime:0.000228s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.001499s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001565s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined variable: web_title 8fc1b62dd067a8ae227fdf05b24233d5.php 第 15 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 45 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 45 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 46 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 46 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 47 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | NOTIC: [8] Undefined index:  images 8fc1b62dd067a8ae227fdf05b24233d5.php 第 47 行.
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.019844s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019902s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_filter ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run ContentReplace Behavior [ RunTime:0.001038s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run TokenBuild Behavior [ RunTime:0.001101s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000895s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.001087s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004261s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001083s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001131s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002574s ]
[ 2013-06-05T11:50:49+08:00 ] /new/index.php?a=index&m=supervisor&f=3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002800s ]
