[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001407s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001532s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | SQL: SHOW COLUMNS FROM `yjl_company` [ RunTime:0.003773s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | NOTIC: [8] Undefined index:  p companyModel.class.php 第 19 行.
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_company` WHERE status = 1 LIMIT 1   [ RunTime:0.000392s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | SQL: SELECT * FROM `yjl_company` WHERE status = 1 ORDER BY addtime DESC LIMIT 0,10   [ RunTime:0.000358s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_template ] --START--
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run LocationTemplate Behavior [ RunTime:0.002677s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_template ] --END-- [ RunTime:0.002800s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_parse ] --START--
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | NOTIC: [8] Undefined variable: web_title 6f6189d60d35a8824621e017bad6bbe7.php 第 15 行.
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run ParseTemplate Behavior [ RunTime:0.037450s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037542s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_filter ] --START--
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run ContentReplace Behavior [ RunTime:0.000848s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run TokenBuild Behavior [ RunTime:0.000948s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000668s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run ShowRuntime Behavior [ RunTime:0.000854s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003485s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_end ] --START--
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Run ShowPageTrace Behavior [ RunTime:0.000840s ]
[ 2013-06-06T09:14:05+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_end ] --END-- [ RunTime:0.000897s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001199s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001320s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | NOTIC: [8] Undefined index:  sid reserveAction.class.php 第 5 行.
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | SQL: SHOW COLUMNS FROM `yjl_company` [ RunTime:0.001705s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | SQL: SELECT * FROM `yjl_company` WHERE id = 16 LIMIT 1   [ RunTime:0.000230s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_template ] --START--
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run LocationTemplate Behavior [ RunTime:0.001917s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002010s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_parse ] --START--
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | NOTIC: [8] Undefined variable: web_title 96e29c0886d6025c5d0468b2e6002afd.php 第 15 行.
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | NOTIC: [8] Undefined variable: ref 96e29c0886d6025c5d0468b2e6002afd.php 第 31 行.
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | NOTIC: [8] Undefined variable: sid 96e29c0886d6025c5d0468b2e6002afd.php 第 67 行.
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run ParseTemplate Behavior [ RunTime:0.018337s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018414s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_filter ] --START--
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run ContentReplace Behavior [ RunTime:0.000669s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run TokenBuild Behavior [ RunTime:0.000781s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000547s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run ShowRuntime Behavior [ RunTime:0.000724s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002856s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_end ] --START--
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000685s ]
[ 2013-06-06T09:14:28+08:00 ] /new/index.php?a=index&m=reserve&cid=16 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000732s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001266s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001379s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_template ] --START--
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run LocationTemplate Behavior [ RunTime:0.002060s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_template ] --END-- [ RunTime:0.002167s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_parse ] --START--
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | NOTIC: [8] Undefined variable: web_title 3abae84a575037d8046edc94b7d06c71.php 第 15 行.
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run ParseTemplate Behavior [ RunTime:0.014952s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015037s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_filter ] --START--
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run ContentReplace Behavior [ RunTime:0.000889s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run TokenBuild Behavior [ RunTime:0.000799s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000575s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run ShowRuntime Behavior [ RunTime:0.000731s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003149s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_end ] --START--
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Run ShowPageTrace Behavior [ RunTime:0.000725s ]
[ 2013-06-06T09:36:44+08:00 ] /new/index.php?a=company&m=company | INFO: Tag[ view_end ] --END-- [ RunTime:0.000773s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001811s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001970s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | SQL: SHOW COLUMNS FROM `yjl_company` [ RunTime:0.008041s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | NOTIC: [8] Undefined index:  p companyModel.class.php 第 19 行.
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_company` WHERE status = 1 LIMIT 1   [ RunTime:0.000240s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | SQL: SELECT * FROM `yjl_company` WHERE status = 1 ORDER BY addtime DESC LIMIT 0,10   [ RunTime:0.000246s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_template ] --START--
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run LocationTemplate Behavior [ RunTime:0.002020s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_template ] --END-- [ RunTime:0.002095s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_parse ] --START--
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | NOTIC: [8] Undefined variable: web_title 6f6189d60d35a8824621e017bad6bbe7.php 第 15 行.
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run ParseTemplate Behavior [ RunTime:0.017117s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017192s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_filter ] --START--
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run ContentReplace Behavior [ RunTime:0.001029s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run TokenBuild Behavior [ RunTime:0.001165s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000932s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run ShowRuntime Behavior [ RunTime:0.001031s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004312s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_end ] --START--
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Run ShowPageTrace Behavior [ RunTime:0.001018s ]
[ 2013-06-06T09:48:22+08:00 ] /new/index.php?a=index&m=company | INFO: Tag[ view_end ] --END-- [ RunTime:0.001069s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000458s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000550s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | SQL: SHOW COLUMNS FROM `yjl_company` [ RunTime:0.001493s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | SQL: SELECT * FROM `yjl_company` WHERE id = 13 LIMIT 1   [ RunTime:0.000212s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_template ] --START--
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run LocationTemplate Behavior [ RunTime:0.000969s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001026s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_parse ] --START--
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | NOTIC: [8] Undefined variable: web_title 3abae84a575037d8046edc94b7d06c71.php 第 15 行.
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run ParseTemplate Behavior [ RunTime:0.009525s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009590s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_filter ] --START--
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run ContentReplace Behavior [ RunTime:0.000390s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run TokenBuild Behavior [ RunTime:0.000894s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000203s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run ShowRuntime Behavior [ RunTime:0.000371s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002009s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_end ] --START--
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000400s ]
[ 2013-06-06T09:48:56+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000454s ]
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001443s ]
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001560s ]
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | SQL: SHOW COLUMNS FROM `yjl_company` [ RunTime:0.001764s ]
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | SQL: SELECT * FROM `yjl_company` WHERE id = 13 LIMIT 1   [ RunTime:0.000194s ]
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_template ] --START--
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Run LocationTemplate Behavior [ RunTime:0.001568s ]
[ 2013-06-06T09:49:48+08:00 ] /new/index.php?a=company&m=company&cid=13 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001628s ]
